"theme","subtheme","topic","filecode","waves","has_varinfo","varinfo_file"
"Biomaterial",,"Adiponectin, leptin and ghrelin","879","G",TRUE,"LASA879_varinfo.pdf"
"Biomaterial",,"Apolipoprotein E (ApoE)","870","B, 2B",TRUE,"LASA870_varinfo.pdf"
"Biomaterial",,"Blood collection and overview (routine) measurements","850","B, C, 2B, G, 3B",TRUE,"LASA850_varinfo.pdf"
"Biomaterial",,"Bone-related hormones and bone turnover","862","C",TRUE,"LASA862_varinfo.pdf"
"Biomaterial",,"Cholesterol, triglycerides and fructosamin","867","C",TRUE,"LASA867_varinfo.pdf"
"Biomaterial",,"COLIA1 (Collagen type I α1 Sp1 polymorphism in LASA)","871","C",TRUE,"LASA871_varinfo.pdf"
"Biomaterial",,"Cortisol (total plasma cortisol, corticosteroid binding globuline, salivary cortisol) - plasma / serum cortisol","864","C",TRUE,"LASA864_varinfo.pdf"
"Biomaterial",,"Cortisol (total plasma cortisol, corticosteroid binding globuline, salivary cortisol) - Salivary cortisol (non)response","880","E",TRUE,"LASA880_881_882_varinfo.pdf"
"Biomaterial",,"Cortisol (total plasma cortisol, corticosteroid binding globuline, salivary cortisol) - Salivary cortisol, moment of day","881","E",TRUE,"LASA880_881_882_varinfo.pdf"
"Biomaterial",,"Cortisol (total plasma cortisol, corticosteroid binding globuline, salivary cortisol) - Salivary cortisol, moment of day (constructed)","882","E",TRUE,"LASA880_881_882_varinfo.pdf"
"Biomaterial",,"Exome Chip",,"C, G",FALSE,
"Biomaterial",,"Genetic polymorphisms (VDR, GR, etc) - Glucocorticoid Receptor (GR) SNPs and haplotypes","873","C",TRUE,"LASA873_varinfo.pdf"
"Biomaterial",,"Genetic polymorphisms (VDR, GR, etc) - Vitamin D Receptor (VDR) SNPs and haplotypes","872","C",TRUE,"LASA872_varinfo.pdf"
"Biomaterial",,"GWAS data",,"C, 2B, G, 3B",FALSE,
"Biomaterial",,"Hair cortisol (LASA ancillary study)",,,FALSE,
"Biomaterial",,"Homocysteine, vitamin B12, MMA","866","C",TRUE,"LASA866_varinfo.pdf"
"Biomaterial",,"Inflammation factors","861","B, C, 3B",TRUE,"LASA861_varinfo.pdf"
"Biomaterial",,"Plasma markers of Alzheimer's Disease","868","C, G",TRUE,"LASA868-878_varinfo.pdf"
"Biomaterial",,"Plasma markers of endothelial dysfunction","878","G",TRUE,"LASA868-878_varinfo.pdf"
"Biomaterial",,"Response blood sampling / DNA Date blood sampling","851","B, C, 2B, G, 3B",TRUE,"LASA851_varinfo.pdf"
"Biomaterial",,"Routine measurements (Albumin and cholesterol)","860","B, C, 2B, G, 3B",TRUE,"LASA860_varinfo.pdf"
"Biomaterial",,"Serum 25-hydroxy-vitamin D (25(OH)D) and parathyroid hormone (PTH)","862","C, 2B, G, 3B",TRUE,"LASA862_varinfo.pdf"
"Biomaterial",,"Sex hormones","863","C",TRUE,"LASA863_varinfo.pdf"
