"filecode","wave","canonical_name","variable_type","value_raw","value_numeric","value_label","is_missing","conflicts","solution"
"011","Z","nupers","numeric","-2","-2","not available","TRUE","Cross-wave coding conflict: -2 differs for B (not available, not living independently), C/D/E/2B/F/G/H/3B/I/J/K (not available, routing)",
"014","Z","fdoor","numeric","-1","-1","not available","TRUE","Cross-wave coding conflict: -1 differs for B (not available), C/D/E/2B/F/G (not available, asked)",
"014","Z","hindep","categorical","-2","-2","not available","TRUE","Cross-wave coding conflict: -2 differs for C/D/E/F/G/H/I/J/K (not available, routing), 2B (not available, interview terminated)",
"014","Z","housem","categorical","1","1","housing type category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (attached row), H/I/J/K (attached row or semi-detached)",
"014","Z","housem","categorical","2","2","housing type category 2","FALSE","Cross-wave coding conflict: 2 differs for B/C/D/E/F/G (semi-detached), H/I/J/K (detached)",
"014","Z","housem","categorical","3","3","housing type category 3","FALSE","Cross-wave coding conflict: 3 differs for B/C/D/E/F/G (detached), H/I/J/K (high rise (elevator))",
"014","Z","housem","categorical","4","4","housing type category 4","FALSE","Cross-wave coding conflict: 4 differs for B/C/D/E/F/G (high rise (elevator)), H/I/J/K (high rise (no elevator))",
"014","Z","housem","categorical","5","5","housing type category 5","FALSE","Cross-wave coding conflict: 5 differs for B/C/D/E/F/G (high rise (no elevator)), H/I/J/K (ground floor apartment)",
"014","Z","housem","categorical","6","6","housing type category 6","FALSE","Cross-wave coding conflict: 6 differs for B/C/D/E/F/G (low-level apt building), H/I/J/K (apt build elderly (elevator))",
"014","Z","housem","categorical","7","7","housing type category 7","FALSE","Cross-wave coding conflict: 7 differs for B/C/D/E/F/G (ground floor apartment), H/I/J/K (home elderly (street level))",
"014","Z","housem","categorical","8","8","housing type category 8","FALSE","Cross-wave coding conflict: 8 differs for B/C/D/E/F/G (apt build elderly (elevator)), H/I/J/K (semi-independent)",
"014","Z","housem","categorical","9","9","housing type category 9","FALSE","Cross-wave coding conflict: 9 differs for B/C/D/E/F/G (home elderly (street level)), H/I/J/K (farm/corporate housing)",
"014","Z","housem","categorical","10","10","housing type category 10","FALSE","Cross-wave coding conflict: 10 differs for B/C/D/E/F/G (service flat (home elderly)), H/I/J/K (houseboat)",
"014","Z","housem","categorical","11","11","housing type category 11","FALSE","Cross-wave coding conflict: 11 differs for B/C/D/E/F/G (semi-independent), H (other), I/J/K (housing with communal facilities)",
"014","Z","housem","categorical","12","12","housing type category 12","FALSE","Cross-wave coding conflict: 12 differs for B/C/D/E/F/G (farm), I/J/K (other (documented)",
"014","Z","houstyp","categorical","-4","-4","not available","TRUE","Cross-wave coding conflict: -4 differs for I/J/K (not available, previous interview telephonic), K (not available, previous interview unknown)",
"014","Z","houstyp","categorical","1","1","housing type category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/2B/F/G (attached row), H/3B/I/J/K (attached row or semi-detached)",
"014","Z","houstyp","categorical","2","2","housing type category 2","FALSE","Cross-wave coding conflict: 2 differs for B/C/D/E/2B/F/G (semi-detached), H/3B/I/J/K (detached)",
"014","Z","houstyp","categorical","3","3","housing type category 3","FALSE","Cross-wave coding conflict: 3 differs for B/C/D/E/2B/F/G (detached), H/3B/I/J/K (high rise (elevator))",
"014","Z","houstyp","categorical","4","4","housing type category 4","FALSE","Cross-wave coding conflict: 4 differs for B/C/D/E/2B/F/G (high rise (elevator)), H/3B/I/J/K (high rise (no elevator))",
"014","Z","houstyp","categorical","5","5","housing type category 5","FALSE","Cross-wave coding conflict: 5 differs for B/C/D/E/2B/F/G (high rise (no elevator)), H/3B/I/J/K (ground floor apartment)",
"014","Z","houstyp","categorical","6","6","housing type category 6","FALSE","Cross-wave coding conflict: 6 differs for B/C/D/E/2B/F/G (low-level apt building), H/3B/I/J/K (apt build elderly (elevator))",
"014","Z","houstyp","categorical","7","7","housing type category 7","FALSE","Cross-wave coding conflict: 7 differs for B/C/D/E/2B/F/G (ground floor apartment), H/3B/I/J/K (home elderly (street level))",
"014","Z","houstyp","categorical","8","8","housing type category 8","FALSE","Cross-wave coding conflict: 8 differs for B/C/D/E/2B/F/G (apt build elderly (elevator)), H/3B/I/J/K (semi-independent)",
"014","Z","houstyp","categorical","9","9","housing type category 9","FALSE","Cross-wave coding conflict: 9 differs for B/C/D/E/2B/F/G (home elderly (street level)), H/3B/I/J/K (farm/corporate housing)",
"014","Z","houstyp","categorical","10","10","housing type category 10","FALSE","Cross-wave coding conflict: 10 differs for B/C/D/E/2B/F/G (service flat (home elderly)), H/3B/I/J/K (houseboat)",
"014","Z","houstyp","categorical","11","11","housing type category 11","FALSE","Cross-wave coding conflict: 11 differs for B/C/D/E/2B/F/G (semi-independent), H (other), 3B/I/J/K (housing with communal facilities)",
"014","Z","houstyp","categorical","12","12","housing type category 12","FALSE","Cross-wave coding conflict: 12 differs for B/C/D/E/2B/F/G (farm), H (institution), 3B/I/J/K (other)",
"014","Z","houstyp","categorical","13","13","housing type category 13","FALSE","Cross-wave coding conflict: 13 differs for B/C/D/E/2B/F/G (houseboat), H (monastery), 3B/I/J/K (institution)",
"014","Z","houstyp","categorical","14","14","housing type category 14","FALSE","Cross-wave coding conflict: 14 differs for B/C/D/E/2B/F/G (commune), 3B/I/J/K (monastery)",
"014","Z","lrooms","binary","-1","-1","not available","TRUE","Cross-wave coding conflict: -1 differs for B (not available), C/D/E/2B/F/G/H/I (not available, asked)",
"014","2B","momonth","date","see Table * Month","NA","NA","NA","Unresolved PDF cross-reference: Table *MONTH is not defined in LASA014_varinfo.pdf.",
"014","3B","momonth","date","see Table * Month","NA","NA","NA","Unresolved PDF cross-reference: Table *MONTH is not defined in LASA014_varinfo.pdf.",
"014","B","momonth","date","see Table *Month","NA","NA","NA","Unresolved PDF cross-reference: Table *MONTH is not defined in LASA014_varinfo.pdf.",
"014","C","momonth","date","see Table *Month","NA","NA","NA","Unresolved PDF cross-reference: Table *MONTH is not defined in LASA014_varinfo.pdf.",
"014","D","momonth","date","see Table *Month","NA","NA","NA","Unresolved PDF cross-reference: Table *MONTH is not defined in LASA014_varinfo.pdf.",
"014","E","momonth","date","see Table *Month","NA","NA","NA","Unresolved PDF cross-reference: Table *MONTH is not defined in LASA014_varinfo.pdf.",
"014","F","momonth","date","see Table *Month","NA","NA","NA","Unresolved PDF cross-reference: Table *MONTH is not defined in LASA014_varinfo.pdf.",
"014","G","momonth","date","see Table *Month","NA","NA","NA","Unresolved PDF cross-reference: Table *MONTH is not defined in LASA014_varinfo.pdf.",
"014","H","momonth","date","see Table * Month","NA","NA","NA","Unresolved PDF cross-reference: Table *MONTH is not defined in LASA014_varinfo.pdf.",
"014","I","momonth","date","see Table * Month","NA","NA","NA","Unresolved PDF cross-reference: Table *MONTH is not defined in LASA014_varinfo.pdf.",
"014","J","momonth","date","see Table * Month","NA","NA","NA","Unresolved PDF cross-reference: Table *MONTH is not defined in LASA014_varinfo.pdf.",
"014","K","momonth","date","see Table * Month","NA","NA","NA","Unresolved PDF cross-reference: Table *MONTH is not defined in LASA014_varinfo.pdf.",
"014","Z","momonth","date","NA","NA","NA","NA","Unresolved PDF cross-reference: Table *MONTH is not defined in LASA014_varinfo.pdf.",
"014","Z","nrooms","numeric","-1","-1","not available","TRUE","Cross-wave coding conflict: -1 differs for B (not available), C/D/E/2B/F/G/H/I (not available, asked)",
"014","Z","rfdoor","categorical","-1","-1","not available","TRUE","Cross-wave coding conflict: -1 differs for B (not available), C/D/E/2B/F/G (not available, asked)",
"014","Z","spec01","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (mentioned), 2B (not mentioned)",
"014","Z","spec02","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (mentioned), 2B (not mentioned)",
"014","Z","spec03","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (mentioned), 2B (not mentioned)",
"014","Z","spec04","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (mentioned), 2B (not mentioned)",
"014","Z","spec05","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (mentioned), 2B (not mentioned)",
"014","Z","spec06","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (mentioned), 2B (not mentioned)",
"014","Z","spec07","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (mentioned), 2B (not mentioned)",
"014","Z","spec08","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (mentioned), 2B (not mentioned)",
"014","Z","spec09","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (mentioned), 2B (not mentioned)",
"014","Z","spec10","binary","1","1","special housing adjustment category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G/K (mentioned), 2B (not mentioned)",
"014","Z","spec11","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (mentioned), 2B (not mentioned)",
"014","Z","spec12","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (mentioned), 2B (not mentioned)",
"014","Z","spec13","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (mentioned), 2B (not mentioned)",
"014","Z","spec14","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (mentioned), 2B (not mentioned)",
"014","Z","spec15","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (mentioned), 2B (not mentioned)",
"014","Z","spec16","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (mentioned), 2B (not mentioned)",
"014","Z","spec17","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (mentioned), 2B (not mentioned)",
"014","Z","specadj","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B (yes), C/D/E/2B/F/G/H/3B/I/J/K (no)",
"015","Z","movefut","binary","-2","-2","not available","TRUE","Cross-wave coding conflict: -2 differs for B/C/D/E (not available, routing), 2B (not available, interview terminated)",
"015","Z","movefut","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B (yes), C/D/E/2B (no)",
"015","Z","pleas","binary","-2","-2","not available","TRUE","Cross-wave coding conflict: -2 differs for B/C/D/E/F/G/H/I/J/K (not available, routing), 2B (not available, interview terminated)",
"015","Z","pleas","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B (yes), C/D/E/2B/F/G/H/3B/I/J/K (no)",
"015","Z","safe","binary","-2","-2","not available","TRUE","Cross-wave coding conflict: -2 differs for B/C/D/E/F/G/H/I/J/K (not available, routing), 2B (not available, interview terminated)",
"015","Z","safe","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B (yes), C/D/E/2B/F/G/H/3B/I/J/K (no)",
"016","Z","cjclass","categorical","-1","-1","not available","TRUE","Cross-wave coding conflict: -1 differs for B/C/F/G (not available, asked), D/E (not available, asked, not classified), 2B (unknown)",
"016","Z","cjlevel","ordinal","-1","-1","not available","TRUE","Cross-wave coding conflict: -1 differs for B/C/F/G (not available, asked), D/E (not available, asked, not classified), 2B (unknown)",
"016","Z","cjpresi","numeric","-1","-1","not available","TRUE","Cross-wave coding conflict: -1 differs for B/C/F/G (not available, asked), D/E (not available, asked, not classified), 2B (unknown)",
"016","Z","cjsbc92","categorical","-1","-1","not available","TRUE","Cross-wave coding conflict: -1 differs for B/C/D/E/2B/F/G (not available, asked), D/E (not available, asked, not classified)",
"016","Z","cjtype","categorical","-1","-1","not available","TRUE","Cross-wave coding conflict: -1 differs for B/C/F/G (not available, asked), D/E (not available, asked, not classified), 2B (unknown)",
"016","Z","disabl","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B (yes), C/D/E/2B/F/G/H/3B/MB/I/J/K (no)",
"016","Z","disablp","numeric","-3","-3","not available","TRUE","Cross-wave coding conflict: -3 differs for B (not available, wrong skip), MB (not available, refused), J/K (refused)",
"016","Z","disablp","numeric","-1","-1","not available","TRUE","Cross-wave coding conflict: -1 differs for B (do not know), C/D/E/2B/F/G/H/3B/MB/I/J/K (not available, asked)",
"016","Z","employ","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B (yes), C/D/E/2B/F/G/H/3B/MB/I/J/K (no)",
"016","Z","job4","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/F/G (yes), H/3B/MB/I/J/K (no)",
"016","Z","nretr","categorical","2","2","reason category 2","FALSE","Cross-wave coding conflict: 2 differs for 2B/3B (maintain social contacts), J (maintain social contacts at work)",
"016","Z","nretr","categorical","3","3","reason category 3","FALSE","Cross-wave coding conflict: 3 differs for 2B/3B (other pastime less pleasant), J (other pastimes less pleasant than work)",
"016","Z","nretr","categorical","4","4","reason category 4","FALSE","Cross-wave coding conflict: 4 differs for 2B/J (financially more favourable), 3B (no possibility for early retirement)",
"016","Z","nretr","categorical","5","5","reason category 5","FALSE","Cross-wave coding conflict: 5 differs for 2B (other reason), 3B (financially more favourable), J (continue working after retirement age in same job)",
"016","Z","nretr","categorical","6","6","reason category 6","FALSE","Cross-wave coding conflict: 6 differs for 3B (should work on to have adequate pension), J (continue working after retirement age in new job)",
"016","Z","pjob1","binary","-4","-4","not available","TRUE","Cross-wave coding conflict: -4 differs for 2B (not available, no household partner), H/I/J/K (not available, short version)",
"016","Z","pjob1","binary","-2","-2","negative code -2","TRUE","Cross-wave coding conflict: -2 differs for H/I/J/K (no (household) partner), 3B/MB (not available, routing)",
"016","Z","retifut","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B (yes), C/D/E/2B/F/G/H (no)",
"016","Z","retired","categorical","-1","-1","not available","TRUE","Cross-wave coding conflict: -1 differs for B/C/D/E/2B/F/G/H/3B/MB/I (not available, asked), J/K (not available, not applicable)",
"016","Z","retired","categorical","1","1","category 1","FALSE","Cross-wave coding conflict: 1 differs for B (yes, partly), C/D/E/2B/F/G/H/3B/MB/I/J/K (no)",
"016","Z","retired","categorical","2","2","category 2","FALSE","Cross-wave coding conflict: 2 differs for B (yes, completely), C/D/E/2B/F/G/H/3B/MB/I/J/K (yes, partly)",
"016","Z","retivol","categorical","1","1","category 1","FALSE","Cross-wave coding conflict: 1 differs for G/H/3B/MB/I (no, not retired), J/K (yes)",
"016","Z","retivol","categorical","2","2","category 2","FALSE","Cross-wave coding conflict: 2 differs for G/H/3B/MB/I (yes, retired entirely voluntarily), J/K (no, not (entirely) voluntarily)",
"016","Z","retnfr","categorical","4","4","reason category 4","FALSE","Cross-wave coding conflict: 4 differs for 2B (financially more favourable), 3B (no possibility for early retirement)",
