filecode,wave,canonical_name,variable_type,value_raw,value_numeric,value_label,is_missing,conflicts
116,B,qdecu01,ordinal,no answer(-1),-1,no answer,TRUE,
116,B,qdecu01,ordinal,no(1),1,no,FALSE,
116,B,qdecu01,ordinal,"yes, <two weeks(2)",2,"yes, <two weeks",FALSE,
116,B,qdecu01,ordinal,"yes, 2wks><3mths(3)",3,"yes, 2wks><3mths",FALSE,
116,B,qdecu01,ordinal,"yes, >3months(4)",4,"yes, >3months",FALSE,
116,B,qdecu02,binary,no answer(-1),-1,no answer,TRUE,
116,B,qdecu02,binary,no(1),1,no,FALSE,
116,B,qdecu02,binary,yes(2),2,yes,FALSE,
116,Z,qdecu01,ordinal,-1,-1,not available,TRUE,
116,Z,qdecu01,ordinal,1,1,no,FALSE,
116,Z,qdecu01,ordinal,2,2,"yes, <two weeks",FALSE,
116,Z,qdecu01,ordinal,3,3,"yes, 2wks><3mths",FALSE,
116,Z,qdecu01,ordinal,4,4,"yes, >3months",FALSE,
116,Z,qdecu02,binary,-1,-1,not available,TRUE,
116,Z,qdecu02,binary,1,1,no,FALSE,
116,Z,qdecu02,binary,2,2,yes,FALSE,
