filecode,wave,canonical_name,variable_type,value_raw,value_numeric,value_label,is_missing,conflicts
mb010,MB,marst,categorical,unknown(-1),-1,unknown,TRUE,
mb010,Z,marst,categorical,-1,-1,unknown,TRUE,
mb010,MB,marst,categorical,never married(1),1,never married,FALSE,
mb010,Z,marst,categorical,1,1,never married,FALSE,
mb010,MB,marst,categorical,married(2),2,married,FALSE,
mb010,Z,marst,categorical,2,2,married,FALSE,
mb010,MB,marst,categorical,divorced(3),3,divorced,FALSE,
mb010,Z,marst,categorical,3,3,divorced,FALSE,
mb010,MB,marst,categorical,widowhood(4),4,widowhood,FALSE,
mb010,Z,marst,categorical,4,4,widowhood,FALSE,
mb010,MB,marst,categorical,registered partnership(5),5,registered partnership,FALSE,
mb010,Z,marst,categorical,5,5,registered partnership,FALSE,
mb010,MB,partst,categorical,unknown(-1),-1,unknown,TRUE,
mb010,Z,partst,categorical,-1,-1,unknown,TRUE,
mb010,MB,partst,categorical,no partner(0),0,no partner,FALSE,
mb010,Z,partst,categorical,0,0,no partner,FALSE,
mb010,MB,partst,categorical,lives with spouse (married or registered partnership)(1),1,lives with spouse (married or registered partnership),FALSE,
mb010,Z,partst,categorical,1,1,lives with spouse (married or registered partnership),FALSE,
mb010,MB,partst,categorical,lives with opposite sex (not married)(2),2,lives with opposite sex (not married),FALSE,
mb010,Z,partst,categorical,2,2,lives with opposite sex (not married),FALSE,
mb010,MB,partst,categorical,lives with same sex (not married)(3),3,lives with same sex (not married),FALSE,
mb010,Z,partst,categorical,3,3,lives with same sex (not married),FALSE,
mb010,MB,partst,categorical,partner opposite sex outside household (not married)(4),4,partner opposite sex outside household (not married),FALSE,
mb010,Z,partst,categorical,4,4,partner opposite sex outside household (not married),FALSE,
mb010,MB,partst,categorical,partner same sex outside household (not married)(5),5,partner same sex outside household (not married),FALSE,
mb010,Z,partst,categorical,5,5,partner same sex outside household (not married),FALSE,
mb010,MB,partst,categorical,spouse outside household (married or registered partnership; relationship sometimes broken; see SEPAR)(6),6,spouse outside household (married or registered partnership; relationship sometimes broken; see SEPAR),FALSE,
mb010,Z,partst,categorical,6,6,spouse outside household (married or registered partnership; relationship sometimes broken; see SEPAR),FALSE,
mb010,MB,partst,categorical,combination 4 & 6(7),7,combination 4 & 6,FALSE,
mb010,Z,partst,categorical,7,7,combination 4 & 6,FALSE,
mb010,MB,partst,categorical,combination 1 & 4(8),8,combination 1 & 4,FALSE,
