filecode,wave,canonical_name,variable_type,value_raw,value_numeric,value_label,is_missing,conflicts
zoa3,3B,oak,categorical,missing(-9),-9,missing,TRUE,
zoa3,3B,oak,categorical,no(0),0,no,FALSE,
zoa3,3B,oak,categorical,possible(1),1,possible,FALSE,
zoa3,3B,oak,categorical,yes(2),2,yes,FALSE,
zoa3,3B,oah,categorical,missing(-9),-9,missing,TRUE,
zoa3,3B,oah,categorical,no(0),0,no,FALSE,
zoa3,3B,oah,categorical,possible(1),1,possible,FALSE,
zoa3,3B,oah,categorical,yes(2),2,yes,FALSE,
zoa3,I,oak,categorical,missing(-9),-9,missing,TRUE,
zoa3,I,oak,categorical,no(0),0,no,FALSE,
zoa3,I,oak,categorical,possible(1),1,possible,FALSE,
zoa3,I,oak,categorical,yes(2),2,yes,FALSE,
zoa3,I,oak,categorical,dropout(8),8,dropout,FALSE,
zoa3,I,oak,categorical,dropout at previous waves(9),9,dropout at previous waves,FALSE,
zoa3,I,oah,categorical,missing(-9),-9,missing,TRUE,
zoa3,I,oah,categorical,no(0),0,no,FALSE,
zoa3,I,oah,categorical,possible(1),1,possible,FALSE,
zoa3,I,oah,categorical,yes(2),2,yes,FALSE,
zoa3,I,oah,categorical,dropout(8),8,dropout,FALSE,
zoa3,I,oah,categorical,dropout at previous waves(9),9,dropout at previous waves,FALSE,
zoa3,Z,oak,categorical,-9,-9,missing,TRUE,
zoa3,Z,oak,categorical,0,0,no,FALSE,
zoa3,Z,oak,categorical,1,1,possible,FALSE,
zoa3,Z,oak,categorical,2,2,yes,FALSE,
zoa3,Z,oak,categorical,8,8,dropout,FALSE,
zoa3,Z,oak,categorical,9,9,dropout at previous waves,FALSE,
zoa3,Z,oah,categorical,-9,-9,missing,TRUE,
zoa3,Z,oah,categorical,0,0,no,FALSE,
zoa3,Z,oah,categorical,1,1,possible,FALSE,
zoa3,Z,oah,categorical,2,2,yes,FALSE,
zoa3,Z,oah,categorical,8,8,dropout,FALSE,
zoa3,Z,oah,categorical,9,9,dropout at previous waves,FALSE,
