filecode,wave,variable_name,canonical_name,variable_label,harmonized_var_label,conflicts
119,B,bqmeno01,qmeno01,menopause 01: age start period,menopause 01: age start period,
119,B,bqmeno02,qmeno02,menopause 02: number of children,menopause 02: number of children,
119,B,bqmeno03,qmeno03,menopause 03: age first child born,menopause 03: age first child born,
119,B,bqmeno04,qmeno04,menopause 04: pregnant no children,menopause 04: pregnant no children,
119,B,bqmeno05,qmeno05,menopause 05: age last period,menopause 05: age last period,
119,B,bqmeno06,qmeno06,menopause 06: menopause natural,menopause 06: menopause natural,
119,B,bqmeno07,qmeno07,menopause 07: used contraceptive pill,menopause 07: used contraceptive pill,
119,B,bqmeno08,qmeno08,menopause 08: # years contraceptive pill,menopause 08: # years contraceptive pill,
119,B,bqmeno09,qmeno09,menopause 09: hot flushes,menopause 09: hot flushes,
119,B,bqmeno10,qmeno10,menopause 10: excessive transpiration,menopause 10: excessive transpiration,
119,B,bqmeno11,qmeno11,menopause 11: pain in muscles,menopause 11: pain in muscles,
119,B,bqmeno12,qmeno12,menopause 12: dry vagina,menopause 12: dry vagina,
119,B,bqmeno13,qmeno13,menopause 13: pain during intercourse,menopause 13: pain during intercourse,
