filecode,wave,variable_name,canonical_name,variable_label,harmonized_var_label,conflicts
z010,A,amarst,marst,marstA: marital status,marital status,
z010,A,apartst,partst,partstA: partner status,partner status,
z010,A,asepar,separ,separA: why not living with spouse (for married or with registered partnership),reason not living with spouse/registered partner,
z010,A,apartner,partner,"partnerA: partner status (none, co-residing, residing outside the household)","partner status (none, co-residing, outside household)",
z010,B,bmarst,marst,marstB: marital status,marital status,
z010,B,bpartst,partst,partstB: partner status,partner status,
z010,B,bsepar,separ,separB: why not living with spouse (for married or with registered partnership),reason not living with spouse/registered partner,
z010,B,bpartner,partner,"partnerB: partner status (none, co-residing, residing outside the household)","partner status (none, co-residing, outside household)",
z010,C,cmarst,marst,marstC: marital status,marital status,
z010,C,cpartst,partst,partstC: partner status,partner status,
z010,C,csepar,separ,separC: why not living with spouse (for married or with registered partnership),reason not living with spouse/registered partner,
z010,C,cpartner,partner,"partnerC: partner status (none, co-residing, residing outside the household)","partner status (none, co-residing, outside household)",
z010,D,dmarst,marst,marstD: marital status,marital status,
z010,D,dpartst,partst,partstD: partner status,partner status,
z010,D,dsepar,separ,separD: why not living with spouse (for married or with registered partnership),reason not living with spouse/registered partner,
z010,D,dpartner,partner,"partnerD: partner status (none, co-residing, residing outside the household)","partner status (none, co-residing, outside household)",
z010,E,emarst,marst,marstE: marital status,marital status,
z010,E,epartst,partst,partstE: partner status,partner status,
z010,E,esepar,separ,separE: why not living with spouse (for married or with registered partnership),reason not living with spouse/registered partner,
z010,E,epartner,partner,"partnerE: partner status (none, co-residing, residing outside the household)","partner status (none, co-residing, outside household)",
z010,F,fmarst,marst,marstF: marital status,marital status,
z010,F,fpartst,partst,partstF: partner status,partner status,
z010,F,fsepar,separ,separF: why not living with spouse (for married or with registered partnership),reason not living with spouse/registered partner,
z010,F,fpartner,partner,"partnerF: partner status (none, co-residing, residing outside the household)","partner status (none, co-residing, outside household)",
z010,G,gmarst,marst,marstG: marital status,marital status,
z010,G,gpartst,partst,partstG: partner status,partner status,
z010,G,gsepar,separ,separG: why not living with spouse (for married or with registered partnership),reason not living with spouse/registered partner,
z010,G,gpartner,partner,"partnerG: partner status (none, co-residing, residing outside the household)","partner status (none, co-residing, outside household)",
z010,H,hmarst,marst,marstH: marital status,marital status,
z010,H,hpartst,partst,partstH: partner status,partner status,
z010,H,hsepar,separ,separH: why not living with spouse (for married or with registered partnership),reason not living with spouse/registered partner,
z010,H,hpartner,partner,"partnerH: partner status (none, co-residing, residing outside the household)","partner status (none, co-residing, outside household)",
z010,I,imarst,marst,marstI: marital status,marital status,
z010,I,ipartst,partst,partstI: partner status,partner status,
z010,I,isepar,separ,separI: why not living with spouse (for married or with registered partnership),reason not living with spouse/registered partner,
z010,I,ipartner,partner,"partnerI: partner status (none, co-residing, residing outside the household)","partner status (none, co-residing, outside household)",
z010,J,jmarst,marst,marstJ: marital status,marital status,
z010,J,jpartst,partst,partstJ: partner status,partner status,
z010,J,jsepar,separ,separJ: why not living with spouse (for married or with registered partnership),reason not living with spouse/registered partner,
z010,J,jpartner,partner,"partnerJ: partner status (none, co-residing, residing outside the household)","partner status (none, co-residing, outside household)",
z010,K,kmarst,marst,marstK: marital status,marital status,
z010,K,kpartst,partst,partstK: partner status,partner status,
z010,K,ksepar,separ,separK: why not living with spouse (for married or with registered partnership),reason not living with spouse/registered partner,
z010,K,kpartner,partner,"partnerK: partner status (none, co-residing, residing outside the household)","partner status (none, co-residing, outside household)",
