filecode,wave,variable_name,canonical_name,variable_label,harmonized_var_label,conflicts
zdc1,B,b_DM,DM,B wave: diabetes mellitus,diabetes mellitus status,
zdc1,C,c_DM,DM,"diabetes at C wave, dropouts defined",diabetes mellitus status,
zdc1,C,c_alg_DM_ruw,alg_DM_ruw,"DM at C, unadjusted for DM status at previous waves",diabetes mellitus status unadjusted for previous-wave status,
zdc1,D,d_DM,DM,"diabetes at D wave, dropouts defined",diabetes mellitus status,
zdc1,D,d_alg_DM_ruw,alg_DM_ruw,"DM at D, unadjusted for DM status at previous waves",diabetes mellitus status unadjusted for previous-wave status,
zdc1,E,e_DM,DM,"diabetes at E wave, dropouts defined",diabetes mellitus status,
zdc1,E,e_alg_DM_ruw,alg_DM_ruw,"DM at E, unadjusted for DM status at previous waves",diabetes mellitus status unadjusted for previous-wave status,
zdc1,F,f_DM,DM,"diabetes at F wave, dropouts defined",diabetes mellitus status,
zdc1,F,f_alg_DM_ruw,alg_DM_ruw,"DM at F, unadjusted for DM status at previous waves",diabetes mellitus status unadjusted for previous-wave status,
zdc1,G,g_DM,DM,"diabetes at G wave, dropouts defined",diabetes mellitus status,
zdc1,G,g_alg_DM_ruw,alg_DM_ruw,"DM at G, unadjusted for DM status at previous waves",diabetes mellitus status unadjusted for previous-wave status,
zdc1,H,h_DM,DM,"diabetes at H wave, dropouts defined",diabetes mellitus status,
zdc1,H,h_alg_DM_ruw,alg_DM_ruw,"DM at H, unadjusted for DM status at previous waves",diabetes mellitus status unadjusted for previous-wave status,
zdc1,I,i_DM,DM,"diabetes at I wave, dropouts defined",diabetes mellitus status,
zdc1,I,i_alg_DM_ruw,alg_DM_ruw,"DM at I, unadjusted for DM status at previous waves",diabetes mellitus status unadjusted for previous-wave status,
