filecode,wave,variable_name,canonical_name,variable_label,harmonized_var_label,conflicts
zoa1,B,boak,oak,symptomatic knee OA at B,Symptomatic knee osteoarthritis,
zoa1,B,boah,oah,symptomatic hip OA at B,Symptomatic hip osteoarthritis,
zoa1,C,coak,oak,symptomatic knee OA at C,Symptomatic knee osteoarthritis,
zoa1,C,coah,oah,symptomatic hip OA at C,Symptomatic hip osteoarthritis,
zoa1,D,doak,oak,symptomatic knee OA at D,Symptomatic knee osteoarthritis,
zoa1,D,doah,oah,symptomatic hip OA at D,Symptomatic hip osteoarthritis,
zoa1,E,eoak,oak,symptomatic knee OA at E,Symptomatic knee osteoarthritis,
zoa1,E,eoah,oah,symptomatic hip OA at E,Symptomatic hip osteoarthritis,
zoa1,F,foak,oak,symptomatic knee OA at F,Symptomatic knee osteoarthritis,
zoa1,F,foah,oah,symptomatic hip OA at F,Symptomatic hip osteoarthritis,
zoa1,G,goak,oak,symptomatic knee OA at G,Symptomatic knee osteoarthritis,
zoa1,G,goah,oah,symptomatic hip OA at G,Symptomatic hip osteoarthritis,
zoa1,H,hoak,oak,symptomatic knee OA at H,Symptomatic knee osteoarthritis,
zoa1,H,hoah,oah,symptomatic hip OA at H,Symptomatic hip osteoarthritis,
zoa1,I,ioak,oak,symptomatic knee OA at I,Symptomatic knee osteoarthritis,
zoa1,I,ioah,oah,symptomatic hip OA at I,Symptomatic hip osteoarthritis,
